Call  Failure,Complains,Subscription  Length,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Status,Customer Value,Churn
5,0,39,15260,178,153,32,2,0,1383.21,0
4,0,32,3813,58,0,29,1,0,212.905,0
9,0,40,2033,34,12,10,4,0,81.675,0
6,0,37,6528,74,99,34,2,0,742.59,0
9,0,20,2190,33,44,19,3,0,264.92,0
24,0,39,6833,115,41,26,3,0,441.92,0
1,0,24,1508,36,25,66,4,0,101.1,0
10,0,28,295,20,0,9,3,1,12.6,0
2,1,27,1070,33,191,11,2,0,909.135,0
21,0,23,6653,151,100,48,2,0,756.18,0
13,0,38,3965,83,41,31,3,0,325.92,0
9,0,34,4118,64,0,31,1,0,230.01,0
0,0,32,3353,73,0,24,2,0,154.17,0
12,0,40,7350,124,288,39,3,0,1450.96,0
5,0,38,13528,166,0,44,3,0,547.76,0
0,0,17,2660,45,0,15,3,0,108.2,0
2,0,38,2115,36,283,18,3,0,1218.04,0
14,0,38,7330,125,283,37,3,0,1430.2,0
0,0,7,4085,34,208,8,3,0,996.76,0
7,0,12,2773,43,21,15,3,0,196.64,0
11,0,16,6203,141,110,44,2,0,780.48,0
2,0,10,4505,46,247,14,3,0,1170.04,0
8,0,13,6028,132,73,38,1,0,740.3,0
9,0,18,2558,41,17,6,3,0,171.96,0
0,0,28,2920,61,9,22,3,0,155.24,0
19,0,46,2803,70,30,25,4,1,146.825,0
12,0,37,2363,52,7,14,3,1,124.6,0
11,0,41,6865,95,198,30,3,0,1070.4,0
1,0,10,3985,35,197,12,3,0,948.8,0
4,0,26,1568,39,30,68,4,0,115.175,0
0,0,32,2535,16,0,12,3,0,102.04,0
1,0,37,1783,31,32,10,4,0,125.35,0
0,0,26,0,0,0,0,4,1,0.0,0
10,0,36,2338,54,327,20,2,0,1579.14,0
18,0,16,9642,182,81,40,5,0,268.86,0
22,1,39,10020,137,172,60,3,0,1094.28,0
0,0,33,11100,145,0,43,3,0,449.8,0
20,0,39,9610,128,160,48,3,0,1029.52,0
5,0,23,1360,32,185,7,2,0,895.14,0
0,0,39,128,4,0,1,2,1,5.94,0
5,0,22,305,6,13,2,4,1,40.275,0
9,0,40,4075,67,7,4,3,0,193.68,0
5,0,33,13773,163,0,43,3,0,557.44,0
5,0,39,5513,90,0,14,3,0,224.12,0
10,0,42,6985,100,204,33,3,0,1099.4,0
2,0,21,860,23,7,9,2,0,71.235,0
0,0,25,820,29,177,6,2,0,834.705,0
6,0,36,6625,84,182,23,3,0,996.36,0
10,0,34,3695,80,22,24,3,0,239.0,0
0,0,34,1173,18,0,1,3,0,47.64,0
16,0,46,6483,111,29,20,3,0,379.76,0
7,0,23,1165,29,14,11,2,0,116.73,0
9,0,13,8817,166,75,41,4,0,412.075,0
17,0,36,9835,83,0,27,4,0,247.95,0
6,0,41,1933,54,9,16,3,1,115.48,0
26,0,33,15780,234,7,67,2,0,752.13,0
0,0,37,875,14,0,11,2,1,40.005,0
0,0,17,985,15,3,14,2,0,58.5,0
18,0,42,6078,108,41,30,2,0,462.87,0
10,0,34,3005,57,172,21,2,0,911.79,0
14,0,35,4080,82,31,29,3,0,290.48,0
3,0,10,2593,35,16,13,3,0,169.12,0
7,0,15,5488,125,57,25,1,0,622.215,0
11,0,26,585,19,0,3,2,1,27.18,0
1,0,41,2055,39,286,17,3,0,1227.76,0
0,0,12,4085,40,216,9,3,0,1029.0,0
12,0,35,9410,125,158,56,3,0,1013.4,0
3,0,36,4065,65,0,15,2,0,185.85,0
6,0,35,8620,114,128,38,3,0,861.36,0
11,0,42,3040,63,190,29,2,0,994.635,0
8,0,41,2780,59,183,24,2,0,951.255,0
21,0,20,6813,153,124,48,2,0,871.47,0
14,0,38,15675,182,125,28,2,0,1276.065,0
12,0,38,8710,116,126,45,3,0,857.04,0
2,0,7,8368,155,51,32,4,0,340.575,0
3,0,28,910,31,175,13,2,0,829.845,0
8,0,41,1925,54,53,26,3,1,291.16,0
14,0,35,6223,103,27,22,2,0,406.17,0
9,0,33,3085,53,174,24,2,0,924.21,0
6,0,32,6910,95,10,19,5,0,120.075,0
20,0,30,15885,238,25,82,2,0,838.035,0
0,0,37,1683,47,0,33,1,0,95.15,0
0,0,34,10450,137,0,45,3,0,423.48,0
3,0,36,6528,75,133,39,2,0,895.635,0
5,0,26,1070,13,23,3,4,1,84.575,0
0,0,22,0,0,11,0,4,1,27.5,0
0,0,41,405,14,14,7,3,1,72.76,0
6,0,27,1560,39,195,11,2,0,949.455,0
3,0,33,3713,52,0,28,1,0,207.075,0
0,0,24,1263,33,23,66,4,0,89.9,0
0,0,30,6365,85,0,16,4,0,161.25,0
12,0,40,2298,57,13,19,3,0,146.2,0
16,0,39,9230,126,142,42,3,0,942.24,0
0,0,27,700,12,25,6,4,1,80.3,0
5,0,34,2405,35,277,14,3,0,1205.6,0
11,0,44,2233,41,22,14,4,0,111.85,0
5,0,37,6745,89,188,26,3,0,1025.36,0
19,0,31,10435,87,0,41,4,0,263.05,0
10,0,11,6008,133,68,36,1,0,711.755,0
8,0,39,4485,77,37,21,3,0,330.48,0
5,0,33,7030,100,16,22,5,0,130.95,0
0,0,20,1308,29,15,62,4,0,70.925,0
5,0,35,6658,72,103,35,2,0,766.35,0
8,0,25,980,29,17,13,2,0,121.905,0
11,0,39,3890,88,64,32,3,0,415.12,0
16,0,29,15170,222,0,63,2,0,692.64,0
5,0,41,305,6,7,2,3,1,40.44,0
13,0,41,3955,90,43,33,3,0,333.8,0
0,0,29,1090,32,196,13,2,0,932.49,0
0,0,35,530,6,2,3,3,1,29.44,0
1,0,36,5613,89,0,10,2,0,256.59,0
28,0,28,16380,238,0,81,2,0,747.81,0
5,0,42,2440,41,295,22,3,0,1279.24,0
0,0,36,2333,55,0,31,1,0,131.34,0
5,0,5,4435,36,207,6,3,0,1006.84,0
0,0,32,875,8,0,10,2,1,39.735,0
4,0,36,2535,50,173,23,2,0,894.825,0
0,0,35,6005,79,170,21,3,0,923.36,0
17,0,34,14775,216,42,28,2,0,863.595,0
0,0,33,6185,87,0,7,4,0,156.8,0
7,0,12,8513,159,34,34,4,0,301.8,0
23,0,19,6887,148,101,47,2,0,771.075,0
6,0,36,3470,76,25,26,2,0,272.07,0
6,0,13,2673,37,20,14,3,0,188.4,0
2,0,34,11045,142,0,41,3,0,447.48,0
19,0,37,6528,109,34,24,2,0,451.665,0
8,0,43,6760,96,201,32,3,0,1078.24,0
8,0,41,6673,79,116,41,2,0,825.84,0
12,0,31,780,27,20,11,3,1,112.28,0
0,0,33,1875,25,267,11,3,0,1144.0,0
3,0,37,3020,30,11,19,3,0,166.0,0
7,0,38,2485,49,161,10,2,0,838.53,0
7,0,37,11465,154,11,47,4,0,317.975,0
0,0,30,3633,50,0,27,1,0,202.565,0
16,0,36,9240,119,140,40,3,0,934.36,0
0,0,34,2595,19,0,14,3,0,104.56,0
11,0,35,7155,116,246,31,2,0,1434.195,0
2,0,18,1695,26,28,14,2,0,203.445,0
6,0,24,280,13,0,1,2,1,13.185,0
17,0,37,9715,131,165,58,3,0,1053.84,0
10,0,23,620,23,0,3,2,1,28.935,0
13,0,35,15710,186,147,28,2,0,1376.82,0
0,0,35,380,7,0,6,2,1,17.415,0
3,0,36,1858,26,9,9,3,0,111.36,0
4,0,37,2245,33,253,14,3,0,1103.12,0
15,0,36,4000,86,29,26,3,0,279.44,0
21,0,19,6698,147,92,44,2,0,722.025,0
0,0,37,5900,76,165,11,3,0,899.04,0
4,0,39,4390,85,6,28,3,0,203.0,0
0,0,6,3375,23,183,8,3,0,867.92,0
5,0,35,1100,18,7,9,2,1,81.81,0
8,0,39,1833,49,0,19,3,1,75.28,0
9,0,36,7123,80,109,35,2,0,814.635,0
4,0,32,1978,44,0,11,3,1,80.88,0
30,1,37,16335,248,15,86,2,0,813.735,0
11,0,37,8925,120,135,40,3,0,901.8,0
15,0,31,1485,42,34,19,2,0,221.715,0
11,0,38,2483,57,10,17,3,1,141.6,0
7,0,37,13658,163,0,40,3,0,552.84,0
6,0,36,4810,87,16,38,3,0,259.88,0
6,0,36,4318,92,23,43,3,0,268.4,0
6,0,42,5873,99,15,16,3,0,298.88,0
6,0,36,2780,53,175,23,2,0,914.985,0
6,0,39,13368,164,0,46,3,0,541.28,0
27,0,38,15330,226,63,35,3,0,874.24,0
8,0,37,4920,88,3,23,3,0,212.32,0
10,0,19,3033,53,42,24,3,0,291.44,0
19,0,27,2130,48,47,30,2,0,309.51,0
7,0,36,8405,110,119,43,3,0,816.6,0
12,0,41,14193,181,39,50,3,0,730.96,0
0,0,7,4275,35,217,11,3,0,1040.4,0
0,0,37,258,2,2,2,2,1,20.7,0
12,0,44,4775,93,17,31,3,0,262.72,0
2,0,9,4390,40,215,10,3,0,1037.2,0
5,0,37,2765,44,286,16,3,0,1256.36,0
0,0,40,485,10,16,10,2,1,94.275,0
26,0,40,14845,221,40,19,3,0,762.64,0
6,0,40,3100,32,15,20,3,0,185.28,0
11,0,37,7385,128,310,39,3,0,1540.52,0
5,0,45,578,15,22,10,3,1,111.72,0
6,0,34,3943,86,7,26,3,0,189.16,0
9,0,38,2895,58,173,22,2,0,911.385,0
0,0,36,3473,79,0,28,2,0,159.84,0
2,0,37,595,8,0,4,2,1,27.135,0
9,0,38,1243,20,32,19,5,0,66.945,0
13,0,37,4323,64,7,32,1,0,279.785,0
8,0,36,8925,121,169,45,3,0,1037.84,0
0,0,25,635,10,46,5,4,1,131.125,0
6,0,35,11760,158,25,60,3,0,576.72,0
16,0,42,15970,196,168,37,2,0,1483.47,0
6,0,18,2295,36,49,29,2,0,325.395,0
0,0,32,2345,15,0,9,3,0,94.4,0
10,0,38,8990,123,148,46,3,0,956.52,0
2,0,40,5693,91,10,14,2,0,305.28,0
4,0,31,1270,40,201,15,2,0,963.45,0
7,0,38,2048,53,0,14,3,1,84.04,0
4,0,36,13713,166,0,42,3,0,555.16,0
15,0,43,15870,190,167,36,2,0,1474.2,0
3,0,34,3410,73,20,24,2,0,246.735,0
21,1,36,10435,93,1,42,5,0,159.42,0
13,0,30,880,33,21,12,2,1,135.585,0
6,0,45,703,13,24,10,3,1,124.64,0
8,0,19,2405,37,36,14,2,0,271.89,0
3,0,32,6850,111,273,34,2,0,1541.745,0
10,0,13,4755,49,227,14,3,0,1100.16,0
25,0,42,15095,229,62,36,3,0,860.96,0
3,0,41,5613,95,8,11,3,0,260.32,0
11,0,40,1890,31,15,13,2,1,153.945,0
9,0,28,1730,26,49,20,4,1,166.4,0
12,0,28,1405,40,30,18,2,0,200.025,0
5,0,10,8448,157,55,33,4,0,352.625,0
0,0,39,0,0,0,0,2,1,0.0,0
9,1,42,2193,58,16,21,3,1,154.04,0
6,0,38,2605,42,287,18,3,0,1253.88,0
0,0,35,5813,59,80,20,2,0,624.24,0
5,0,42,6500,92,194,27,3,0,1039.68,0
7,0,41,3893,66,2,34,1,0,228.745,0
12,0,35,2543,54,7,18,3,1,131.88,0
3,0,33,643,4,3,3,5,0,14.205,0
2,0,36,1260,39,20,22,3,1,131.96,0
2,0,27,1125,35,184,8,2,0,880.2,0
10,0,39,4313,72,33,39,1,0,422.675,0
0,0,28,600,6,24,5,4,1,75.15,0
22,1,40,10515,95,11,46,5,0,175.65,0
5,0,35,6490,93,7,9,5,0,109.245,0
2,0,31,7080,101,28,35,4,0,249.525,0
5,0,35,1855,45,47,23,3,1,264.0,0
0,0,37,520,14,38,10,3,1,173.36,0
13,0,37,9115,121,144,43,3,0,945.44,0
3,0,29,8550,105,122,35,3,0,834.2,0
33,0,42,15505,234,66,36,3,0,893.56,0
0,0,29,10900,138,0,39,3,0,441.52,0
5,0,30,1648,41,40,72,4,0,142.225,0
16,0,40,14678,185,28,61,3,0,706.52,0
1,0,38,2203,57,0,30,1,0,124.3,0
12,0,36,4595,75,7,15,3,0,214.8,0
12,0,42,3165,61,192,29,2,0,1009.17,0
11,0,39,1353,21,19,4,5,0,49.11,0
14,0,29,815,30,8,6,3,1,65.8,0
16,1,42,7530,132,293,41,3,0,1478.48,0
10,0,33,9420,76,0,40,4,0,237.4,0
7,0,39,13888,175,32,48,3,0,690.52,0
12,0,15,8932,171,73,40,4,0,410.075,0
2,0,33,6420,84,176,22,3,0,964.16,0
22,0,41,4790,99,47,30,3,0,383.56,0
10,0,28,2025,47,201,11,3,0,886.88,0
8,0,41,2813,70,41,39,2,0,314.235,0
8,0,36,2970,54,184,26,2,0,964.08,0
9,0,35,6223,95,6,13,2,0,311.31,0
16,0,40,4080,88,39,30,3,0,322.72,0
19,0,37,14430,214,29,32,3,0,701.76,0
6,0,16,2662,44,22,16,3,0,196.24,0
0,0,36,6310,86,211,28,3,0,1099.84,0
4,0,31,6785,108,260,28,2,0,1480.185,0
0,0,38,1760,29,264,3,3,0,1127.56,0
0,0,33,4030,69,0,18,3,0,163.96,0
17,0,30,1710,46,37,20,2,0,245.52,0
12,0,46,1275,30,35,16,3,1,192.2,0
10,0,37,2643,59,9,15,3,1,144.08,0
17,0,44,4160,90,49,34,3,0,366.0,0
0,0,32,2008,50,0,27,1,0,113.19,0
11,0,32,1800,50,211,18,3,0,918.0,0
5,0,40,1295,26,39,17,3,1,208.84,0
0,0,10,1130,10,6,6,2,0,78.3,0
9,0,34,7495,108,22,22,5,0,147.045,0
0,0,34,3413,76,0,26,2,0,157.005,0
8,0,33,15405,180,140,26,2,0,1331.325,0
3,0,39,2508,64,34,37,2,0,268.74,0
17,0,32,1530,44,34,16,2,0,223.83,0
14,0,20,8932,177,81,41,5,0,258.135,0
3,0,32,6670,91,0,18,4,0,169.025,0
12,0,42,2725,48,297,22,4,0,811.825,0
0,0,34,5553,86,0,8,2,0,253.755,0
2,0,38,6095,81,168,28,3,0,919.04,0
23,0,41,10435,99,9,43,5,0,171.51,0
0,0,37,2203,58,27,35,2,0,223.245,0
31,0,44,15525,233,71,38,3,0,914.32,0
16,0,44,4035,92,47,34,3,0,353.08,0
5,0,32,3065,26,7,12,3,0,151.64,0
5,0,21,3270,57,7,19,3,0,161.08,0
5,0,40,305,6,7,2,2,1,45.495,0
0,0,32,2100,29,270,12,3,0,1165.16,0
0,0,33,2703,65,0,26,2,0,124.56,0
0,0,32,1245,32,0,14,3,1,51.08,0
4,0,34,2070,49,39,18,3,1,240.76,0
3,0,37,1115,19,14,6,2,1,114.03,0
17,0,19,6098,137,71,29,2,0,600.075,0
5,0,38,3778,85,7,30,3,0,182.52,0
0,0,23,3110,56,10,24,3,0,166.64,0
5,0,37,4008,66,26,37,1,0,367.07,0
2,0,37,3660,60,0,17,2,0,167.4,0
7,0,41,813,12,23,9,3,1,125.0,0
9,0,37,4775,76,23,15,2,0,321.795,0
0,0,31,13468,157,0,41,3,0,545.0,0
23,0,36,10625,94,10,45,5,0,175.785,0
11,0,36,4740,87,7,23,3,0,221.08,0
5,0,35,1793,23,7,3,4,0,62.9,0
11,0,33,1873,51,45,71,5,0,96.36,0
24,0,39,14735,220,36,34,3,0,742.2,0
12,0,30,1225,38,27,14,2,0,178.335,0
11,0,42,1333,22,22,6,3,1,142.2,0
0,0,37,685,13,0,8,2,1,31.41,0
5,0,31,1395,38,203,15,2,0,977.985,0
0,0,22,3045,53,0,18,3,0,123.92,0
4,0,39,3898,90,13,33,2,0,237.96,0
5,0,11,4095,36,201,25,3,0,969.24,0
5,0,38,4270,80,0,25,3,0,174.0,0
13,0,39,4560,71,7,15,2,0,239.895,0
0,0,38,750,16,4,14,2,1,52.47,0
5,0,30,2885,18,7,10,3,0,144.12,0
6,0,33,11385,152,1,43,3,0,465.48,0
7,0,37,3908,82,7,26,2,0,211.05,0
1,0,32,6233,61,90,30,2,0,688.23,0
8,0,38,2163,32,16,11,4,0,94.875,0
9,0,42,11465,160,19,48,4,0,338.125,0
12,0,39,4705,83,7,23,3,0,219.52,0
8,0,34,2158,52,0,13,3,1,88.4,0
5,0,38,4325,82,0,22,3,0,176.28,0
11,0,40,15665,190,161,35,2,0,1437.975,0
12,1,35,7675,127,279,33,3,0,1428.08,0
10,0,33,1700,44,210,17,3,0,909.76,0
0,0,21,1390,26,29,13,2,0,194.22,0
0,0,20,1470,22,31,16,2,0,206.64,0
9,0,43,6885,94,203,32,3,0,1091.16,0
0,0,36,2055,33,278,16,3,0,1195.52,0
0,0,33,1765,36,143,21,2,0,724.545,0
0,0,30,3333,74,0,22,2,0,153.315,0
14,0,40,3890,87,30,27,3,0,279.08,0
20,0,29,1605,41,38,24,3,1,217.84,0
6,0,35,7080,122,303,37,3,0,1500.08,0
10,0,42,1970,56,53,23,4,1,183.15,0
16,0,13,9158,175,70,38,5,0,244.995,0
2,0,36,3718,82,2,28,2,0,180.0,0
3,0,37,1528,43,0,17,3,1,62.84,0
5,0,33,2965,20,7,11,3,0,147.4,0
2,0,36,4210,77,0,23,3,0,171.48,0
16,0,41,4195,94,71,34,3,0,455.56,0
0,0,15,1275,14,0,8,2,0,58.005,0
9,0,39,2550,39,260,16,3,0,1143.56,0
4,0,37,3488,55,0,35,1,0,194.865,0
13,0,22,1530,32,18,14,2,0,151.29,0
14,0,39,15790,188,157,32,2,0,1425.51,0
8,0,28,575,27,14,10,2,1,90.09,0
16,0,33,10015,81,0,36,4,0,252.4,0
7,0,34,13818,165,7,40,3,0,587.32,0
5,0,43,2393,64,10,34,2,0,155.565,0
18,0,24,15770,226,0,77,2,0,719.82,0
6,0,38,4125,68,3,17,2,0,202.185,0
28,0,35,15445,225,53,33,3,0,838.8,0
3,0,40,4290,79,5,27,3,0,194.76,0
11,0,35,4675,71,4,18,2,0,231.57,0
12,0,40,3298,74,30,50,2,0,286.74,0
6,0,42,1928,35,15,12,4,0,86.575,0
0,0,34,633,8,18,15,5,0,36.615,0
3,0,39,935,17,5,13,2,0,65.34,0
0,0,31,3233,68,0,21,2,0,148.545,0
6,0,35,2698,58,1,34,1,0,157.08,0
15,0,17,9047,176,71,39,5,0,244.845,0
23,0,22,6878,155,103,49,2,0,779.985,0
13,0,41,9070,125,152,47,3,0,975.8,0
13,0,20,6087,141,86,41,2,0,667.26,0
5,0,39,563,8,9,4,3,1,58.84,0
0,0,35,570,8,0,9,2,1,26.01,0
32,1,36,16560,252,18,87,2,0,837.54,0
6,0,35,6845,100,19,24,5,0,132.675,0
8,0,38,2085,56,77,26,4,1,246.025,0
2,0,26,1378,38,21,65,4,0,87.9,0
1,0,36,1280,19,1,9,2,1,62.955,0
12,0,30,1933,48,42,72,5,0,92.715,0
0,0,24,2515,50,0,23,3,0,102.6,0
8,0,36,1855,44,13,18,3,1,127.96,0
12,0,40,11885,166,50,53,4,0,426.275,0
0,0,31,405,2,0,5,2,1,18.315,0
7,0,36,4665,75,19,30,2,0,298.8,0
8,0,34,8695,109,105,37,3,0,772.16,0
8,0,43,683,14,19,8,3,0,103.88,0
5,0,34,755,10,7,4,3,1,58.6,0
6,0,37,1048,15,12,2,5,0,33.945,0
8,0,38,6108,96,16,15,3,0,312.16,0
14,0,25,1825,42,40,28,2,0,264.015,0
3,0,40,13548,165,3,46,3,0,560.52,0
0,0,33,6353,66,96,33,2,0,720.855,0
0,0,26,0,0,0,0,2,1,0.0,0
0,0,3,0,0,0,0,2,0,0.0,1
0,0,3,1103,11,0,1,2,0,50.13,1
0,0,3,1182,7,0,4,2,0,53.505,1
0,0,4,1003,5,0,4,2,0,45.36,1
0,0,6,472,2,0,5,2,0,21.33,1
0,0,7,0,0,0,0,2,0,0.0,1
0,0,7,992,12,0,2,2,0,45.18,1
0,0,7,1182,13,0,5,2,0,53.775,1
0,0,7,1428,16,0,5,3,0,57.76,1
0,0,8,777,8,0,7,3,0,31.4,1
0,0,12,1182,19,1,6,3,0,52.04,1
0,0,26,825,10,21,3,4,1,73.375,1
0,0,28,0,0,0,0,2,1,0.0,1
0,0,28,0,0,0,0,3,1,0.0,1
0,0,29,0,0,0,0,2,1,0.0,1
0,0,29,0,0,0,0,3,1,0.0,1
0,0,30,0,0,0,0,2,1,0.0,1
0,0,30,0,0,0,0,3,1,0.0,1
0,0,31,0,0,0,0,2,1,0.0,1
0,0,31,0,0,0,0,3,1,0.0,1
0,0,31,0,0,0,0,4,1,0.0,1
0,0,31,628,1,1,3,4,1,18.225,1
0,0,32,0,0,0,0,2,1,0.0,1
0,0,32,0,0,0,0,4,1,0.0,1
0,0,32,263,1,0,1,3,1,10.56,1
0,0,32,1975,24,0,14,2,1,89.955,1
0,0,33,0,0,0,0,2,1,0.0,1
0,0,33,0,0,0,0,3,1,0.0,1
0,0,33,0,0,0,0,4,1,0.0,1
0,0,33,1253,27,2,29,3,1,59.2,1
0,0,33,2085,25,0,9,2,1,94.95,1
0,0,34,0,0,0,0,2,1,0.0,1
0,0,34,0,0,0,0,3,1,0.0,1
0,0,34,0,0,0,0,4,1,0.0,1
0,0,34,0,0,2,0,3,1,8.0,1
0,0,34,323,1,2,2,4,1,13.1,1
0,0,34,428,6,14,15,3,1,73.36,1
0,0,34,513,2,11,5,4,1,40.375,1
0,0,34,568,4,4,2,4,1,24.3,1
0,0,34,923,11,23,17,4,1,80.85,1
0,0,35,0,0,0,0,2,1,0.0,1
0,0,35,0,0,0,0,3,1,0.0,1
0,0,35,0,0,0,0,4,1,0.0,1
0,0,35,0,0,2,0,2,1,9.0,1
0,0,35,0,0,25,0,3,1,100.0,1
0,0,35,438,7,34,6,4,1,96.125,1
0,0,35,513,1,0,3,4,1,12.85,1
0,0,36,0,0,0,0,2,1,0.0,1
0,0,36,0,0,0,0,3,0,0.0,1
0,0,36,0,0,0,0,3,1,0.0,1
0,0,36,0,0,0,0,4,1,0.0,1
0,0,36,0,0,1,0,2,1,4.5,1
0,0,36,0,0,25,0,2,1,112.5,1
0,0,36,133,2,0,2,3,1,5.4,1
0,0,36,383,4,7,4,4,0,27.175,1
0,0,36,438,6,0,1,4,1,11.1,1
0,0,36,628,7,9,4,4,1,38.375,1
0,0,37,0,0,0,0,2,0,0.0,1
0,0,37,0,0,0,0,2,1,0.0,1
0,0,37,0,0,0,0,3,1,0.0,1
0,0,37,8,4,4,5,3,1,16.48,1
0,0,37,223,2,0,6,4,1,5.625,1
0,0,37,248,8,32,6,3,1,138.24,1
0,0,37,743,13,41,8,4,1,121.4,1
0,0,37,875,14,0,11,2,1,40.005,1
0,0,38,0,0,0,0,2,1,0.0,1
0,0,38,0,0,3,0,3,1,12.0,1
0,0,38,0,0,4,0,2,1,18.0,1
0,0,38,115,6,32,4,2,1,149.445,1
0,0,39,0,0,0,0,2,1,0.0,1
0,0,39,0,0,1,0,3,1,4.0,1
0,0,39,0,0,3,0,2,1,13.5,1
0,0,39,323,7,10,3,4,1,33.25,1
0,0,40,0,0,1,0,2,1,4.5,1
0,0,40,88,6,8,6,3,1,35.76,1
0,0,41,0,0,8,0,2,1,36.0,1
0,0,42,0,0,8,0,2,1,36.0,1
0,1,3,1228,9,0,1,2,0,55.665,1
0,1,5,1123,10,0,3,2,1,50.985,1
0,1,6,1068,7,0,1,2,0,48.375,1
0,1,7,1183,13,0,5,2,1,53.82,1
0,1,7,1372,14,2,8,2,0,71.37,1
0,1,8,1298,19,25,9,3,0,152.68,1
0,1,9,888,9,0,3,3,0,35.88,1
0,1,10,1363,21,4,10,2,0,80.28,1
0,1,11,1263,15,3,9,3,0,63.12,1
0,1,24,765,7,16,1,4,1,59.3,1
0,1,25,1010,30,186,9,2,0,883.8,1
0,1,27,2425,25,0,8,2,1,110.25,1
0,1,28,0,0,0,0,4,0,0.0,1
0,1,28,1703,28,12,23,3,1,117.24,1
0,1,30,0,0,0,0,2,1,0.0,1
0,1,30,0,0,0,0,4,1,0.0,1
0,1,30,0,0,0,0,5,0,0.0,1
0,1,31,0,0,0,0,2,1,0.0,1
0,1,32,0,0,0,0,2,1,0.0,1
0,1,32,0,0,0,0,3,1,0.0,1
0,1,33,0,0,0,0,2,1,0.0,1
0,1,34,0,0,0,0,2,1,0.0,1
0,1,34,0,0,0,0,3,1,0.0,1
0,1,34,0,0,0,0,4,1,0.0,1
0,1,34,323,1,2,2,4,1,13.1,1
0,1,34,1363,28,6,14,3,1,79.64,1
0,1,35,0,0,0,0,2,1,0.0,1
0,1,35,295,4,14,13,2,1,76.455,1
0,1,36,0,0,0,0,2,1,0.0,1
0,1,36,628,7,9,4,4,1,38.375,1
0,1,37,503,9,13,7,4,1,45.3,1
0,1,38,403,3,12,6,4,1,40.15,1
0,1,40,583,11,17,8,4,1,57.35,1
1,0,4,1487,13,0,6,2,0,67.5,1
