Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,0,7,0,1428,16,0,5,3,True,True,30,57,True
11,0,42,1,4278,68,11,39,1,True,True,15,299,False
5,0,42,1,2440,41,295,22,3,True,True,30,1279,False
14,0,41,3,9195,123,154,47,3,True,True,30,988,False
26,0,42,4,15220,227,64,36,3,False,True,30,873,False
10,0,41,1,15565,184,160,34,2,True,True,25,1428,False
8,0,41,2,11545,156,21,51,4,True,True,45,345,False
2,0,40,1,1748,27,10,10,4,True,True,45,69,False
26,0,35,4,16155,240,10,84,2,True,True,25,782,False
5,0,30,1,1648,41,40,72,4,True,True,45,142,False
1,0,30,0,905,12,31,7,4,True,False,45,100,False
9,0,20,4,2933,47,41,23,3,True,True,30,283,False
3,0,13,2,4470,42,225,14,3,True,True,30,1080,False
4,0,13,2,1568,21,10,11,3,True,True,30,103,True
9,0,34,0,4118,64,0,31,1,True,True,15,230,False
2,0,34,0,2313,56,0,29,1,True,True,15,130,False
3,0,34,0,2280,37,275,14,3,True,True,30,1192,False
24,0,34,2,15060,223,44,28,3,True,True,30,787,False
8,0,33,0,15405,180,140,26,2,True,True,25,1331,False
2,0,29,0,6705,95,4,18,4,True,True,45,180,False
0,0,32,0,0,0,0,0,4,True,False,45,0,True
24,0,27,2,15995,236,0,76,2,True,True,25,730,False
5,0,30,2,6885,114,261,29,2,False,True,25,1489,False
3,0,22,0,1488,37,20,64,4,True,True,45,88,False
0,0,22,0,0,0,11,0,4,True,False,45,27,False
1,0,14,0,1615,24,18,10,2,True,True,25,154,False
15,0,13,0,6313,139,75,38,1,False,True,15,767,False
11,0,11,0,8853,169,63,36,4,True,True,45,383,False
7,0,12,2,2773,43,21,15,3,True,True,30,196,False
15,0,44,1,4458,76,16,41,1,True,True,15,337,False
9,0,44,1,2620,49,300,24,3,True,True,30,1306,False
18,0,43,3,9375,131,159,49,3,True,True,30,1016,False
30,0,44,4,15400,235,69,38,3,True,True,30,901,False
14,0,43,1,15745,192,165,36,2,True,True,25,1459,False
12,0,43,2,11725,164,26,53,4,True,True,45,362,False
6,0,42,1,1928,35,15,12,4,True,True,45,86,False
5,0,42,0,888,17,24,10,4,True,False,45,82,True
5,0,32,0,1085,20,36,9,4,True,False,45,117,False
13,0,22,4,3113,55,46,25,3,True,True,30,310,False
7,0,15,2,4650,50,230,16,3,True,True,30,1108,False
5,0,32,0,3938,56,0,29,1,True,True,15,219,False
0,0,32,0,2133,48,0,27,1,True,True,15,119,False
0,0,32,0,2100,29,270,12,3,True,True,30,1165,False
20,0,32,2,14880,215,39,26,3,True,True,30,759,False
4,0,31,0,15225,172,135,24,2,True,True,25,1300,False
0,0,27,0,6525,87,0,16,4,True,True,45,165,False
20,0,25,2,15815,228,0,74,2,True,True,25,721,False
1,0,28,2,6705,106,256,27,2,False,True,25,1458,False
0,0,20,0,1308,29,15,62,4,True,True,45,70,False
0,0,20,0,0,0,6,0,4,True,False,45,15,False
0,0,12,0,1435,16,13,8,2,True,True,25,123,False
11,0,11,0,6133,131,70,36,1,False,True,15,729,False
7,0,9,0,8673,161,58,34,4,True,True,45,365,False
3,0,10,2,2593,35,16,13,3,True,True,30,169,False
12,0,41,0,4378,74,12,40,1,True,True,15,310,False
5,0,41,0,2573,66,13,38,1,True,True,15,216,False
6,0,41,0,2540,47,296,23,3,True,True,30,1287,False
27,0,41,3,15320,233,65,37,3,True,True,30,882,False
11,0,40,0,15665,190,161,35,2,True,True,25,1437,False
9,0,40,1,11645,162,22,52,4,True,True,45,350,False
2,0,39,0,808,15,20,9,4,True,False,45,70,True
8,0,37,3,7145,124,282,38,2,False,True,25,1596,False
6,0,29,0,1748,47,41,73,4,True,True,45,147,False
2,0,29,0,1005,18,32,8,4,True,False,45,105,False
14,0,18,0,9113,179,84,45,4,True,True,45,442,False
10,0,19,3,3033,53,42,24,3,True,True,30,291,False
4,0,12,1,4570,48,226,15,3,True,True,30,1088,False
5,0,12,1,1668,27,11,12,3,True,True,30,111,True
8,0,35,0,4018,58,0,30,1,True,True,15,224,False
1,0,35,0,2213,50,0,28,1,True,True,15,124,False
2,0,35,0,2180,31,274,13,3,True,True,30,1184,False
23,0,35,3,14960,217,43,27,3,True,True,30,779,False
7,0,34,0,15305,174,139,25,2,True,True,25,1322,False
5,0,34,1,11285,146,0,42,4,True,True,45,285,False
0,0,33,0,0,0,0,0,4,True,False,45,0,True
23,0,28,3,15895,230,0,75,2,True,True,25,725,False
4,0,31,3,6785,108,260,28,2,False,True,25,1480,False
2,0,23,0,1388,31,19,63,4,True,True,45,82,False
0,0,23,0,0,0,10,0,4,True,False,45,25,False
0,0,15,0,1515,18,17,9,2,True,True,25,145,False
14,0,14,1,6213,133,74,37,2,False,True,25,618,False
10,0,12,0,8753,163,62,35,4,True,True,45,377,False
6,0,13,3,2673,37,20,14,3,True,True,30,188,False
0,0,6,1,4210,32,204,5,3,True,True,30,985,False
1,0,6,1,1308,11,0,2,3,True,True,30,52,True
14,0,38,2,4798,76,22,50,1,True,True,15,389,False
15,0,38,3,4375,92,53,43,3,True,True,30,390,False
8,0,38,2,2960,49,306,33,3,True,True,30,1344,False
17,0,37,4,9715,131,165,58,3,False,True,30,1053,False
11,0,38,2,14373,179,21,59,3,True,True,30,666,False
11,0,38,3,5115,93,23,40,3,True,True,30,300,False
13,0,37,2,16085,192,171,45,2,True,True,25,1501,False
7,0,37,3,7100,96,207,41,3,True,True,30,1115,False
11,0,37,3,12065,164,32,62,4,True,True,45,385,False
12,0,37,3,7318,85,129,52,2,True,True,25,913,False
17,0,36,3,6418,108,47,39,2,True,True,25,505,False
5,0,36,2,2268,35,21,21,4,True,True,45,110,False
4,0,36,0,1228,17,30,19,4,True,False,45,106,True
8,0,27,3,1915,46,214,26,2,False,True,25,1051,False
8,0,26,2,2168,49,51,83,4,True,True,45,182,False
4,0,26,0,1425,20,42,18,4,True,False,45,141,False
20,0,17,3,6993,151,106,57,2,False,True,25,798,False
6,0,9,3,4990,50,236,25,3,True,True,30,1145,False
6,0,38,0,3598,56,0,20,1,True,True,15,200,False
0,0,38,0,1793,48,0,18,1,True,True,15,101,False
0,0,38,0,1760,29,264,3,3,True,True,30,1127,False
21,0,38,1,14540,215,33,17,3,True,True,30,722,False
5,0,37,0,14885,172,129,15,2,True,True,25,1258,False
0,0,33,0,6185,87,0,7,4,True,True,45,156,False
0,0,36,0,0,0,0,0,4,True,False,45,0,True
21,0,31,1,15475,228,0,65,2,True,True,25,706,False
2,0,34,1,6365,106,250,18,2,False,True,25,1416,False
0,0,26,0,968,29,9,53,4,True,True,45,47,False
0,0,26,0,0,0,0,0,4,True,False,45,0,False
12,0,17,0,5793,131,64,27,1,False,True,15,677,False
8,0,15,0,8333,161,52,25,4,True,True,45,342,False
4,0,16,1,2253,35,10,4,3,True,True,30,131,False
0,0,9,0,3790,30,194,23,3,True,True,30,928,False
10,0,39,1,4313,72,33,39,1,True,True,15,422,False
4,0,39,1,2475,45,317,22,4,True,True,45,855,False
13,0,38,3,9230,127,176,47,3,True,True,30,1078,False
25,0,39,4,15255,231,86,36,3,True,True,30,963,False
9,0,38,1,15600,188,182,34,2,True,True,25,1529,False
3,0,38,2,6615,92,218,30,3,True,True,30,1140,False
7,0,38,2,11580,160,43,51,4,True,True,45,401,False
9,0,37,0,2383,50,66,35,4,True,False,45,225,True
1,0,37,1,1783,31,32,10,4,True,True,45,125,False
0,0,37,0,743,13,41,8,4,True,False,45,121,True
25,0,32,4,16190,244,32,84,2,False,True,25,883,False
6,0,35,4,7080,122,303,37,3,False,True,30,1500,False
3,0,36,0,1780,50,70,24,4,True,False,45,220,False
4,0,28,2,1430,42,225,15,3,False,True,30,958,False
0,0,27,0,940,16,53,7,4,True,False,45,156,False
8,0,17,4,2968,51,63,23,3,False,True,30,372,False
2,0,10,2,4505,46,247,14,3,True,True,30,1170,False
3,0,10,2,1603,25,32,11,3,True,True,30,193,True
10,0,36,0,2338,54,327,20,2,True,True,25,1579,False
10,0,37,0,4083,60,0,31,1,True,True,15,227,False
3,0,37,0,2278,52,0,29,1,True,True,15,128,False
4,0,37,0,2245,33,253,14,3,True,True,30,1103,False
25,0,37,2,15025,219,22,28,3,True,True,30,697,False
9,0,36,0,15370,176,118,26,2,True,True,25,1230,False
3,0,32,0,6670,91,0,18,4,True,True,45,169,False
0,0,35,0,513,1,0,3,4,True,False,45,12,True
0,0,35,0,0,0,0,0,4,True,True,45,0,False
25,0,30,2,15960,232,0,76,2,True,True,25,728,False
6,0,33,2,6850,110,239,29,2,False,True,25,1388,False
4,0,25,0,1453,33,0,64,4,True,True,45,37,False
0,0,25,0,710,4,0,1,4,True,False,45,17,False
2,0,17,0,1580,20,0,10,2,True,True,25,72,False
16,0,16,0,6278,135,53,38,1,False,True,15,644,False
12,0,14,0,8818,165,41,36,4,True,True,45,327,False
8,0,15,2,2738,39,0,15,3,True,True,30,111,False
2,0,8,0,4275,34,183,6,3,True,True,30,904,False
12,0,38,0,4388,67,10,38,1,True,True,15,300,False
5,0,38,0,2583,59,11,36,1,True,True,15,205,False
6,0,38,0,2550,40,294,21,3,True,True,30,1279,False
27,0,38,3,15330,226,63,35,3,True,True,30,874,False
11,0,37,0,15675,183,159,33,2,True,True,25,1429,False
9,0,37,1,11655,155,20,50,4,True,True,45,345,False
2,0,36,0,818,8,18,7,4,True,False,45,65,True
27,0,31,3,16265,239,9,83,2,True,True,25,783,False
8,0,34,3,7155,117,280,36,2,False,True,25,1587,False
6,0,26,0,1758,40,39,71,4,True,True,45,142,False
2,0,26,0,1015,11,30,6,4,True,False,45,100,False
18,0,17,1,6582,142,94,45,2,False,True,25,725,False
14,0,15,0,9122,172,82,43,4,True,True,45,437,False
10,0,16,3,3042,46,40,22,3,True,True,30,283,False
4,0,9,1,4580,41,224,13,3,True,True,30,1080,False
5,0,9,1,1677,20,9,10,3,True,True,30,103,True
8,0,38,0,4008,65,0,32,1,True,True,15,224,False
1,0,38,0,2203,57,0,30,1,True,True,15,124,False
2,0,38,0,2170,38,276,15,3,True,True,30,1192,False
23,0,38,3,14950,224,45,29,3,True,True,30,786,False
7,0,37,0,15295,181,141,27,2,True,True,25,1330,False
5,0,37,1,11275,153,2,44,4,True,True,45,290,False
0,0,36,0,438,6,0,1,4,True,False,45,11,True
23,0,31,3,15885,237,0,77,2,True,True,25,725,False
4,0,34,3,6775,115,262,30,2,False,True,25,1489,False
2,0,26,0,1378,38,21,65,4,True,True,45,87,False
0,0,26,0,635,9,12,1,4,True,False,45,46,False
14,0,17,1,6202,140,76,39,2,False,True,25,627,False
10,0,15,0,8742,170,64,37,4,True,True,45,382,False
6,0,16,3,2662,44,22,16,3,True,True,30,196,False
0,0,9,1,4200,39,206,7,3,True,True,30,993,False
1,0,9,1,1297,18,0,4,3,True,True,30,52,True
8,0,33,0,4198,60,0,34,1,True,True,15,234,False
1,0,33,0,2393,52,0,32,1,True,True,15,134,False
2,0,33,0,2360,33,277,17,3,True,True,30,1203,False
23,0,33,2,15140,219,46,31,3,True,True,30,798,False
7,0,32,0,15485,176,142,29,2,True,True,25,1343,False
1,0,28,0,6785,91,6,21,4,True,True,45,186,False
0,0,31,0,628,1,1,3,4,True,False,45,18,True
0,0,31,0,338,5,0,1,4,True,True,45,8,False
23,0,26,2,16075,232,0,79,2,True,True,25,733,False
4,0,29,2,6965,110,263,32,2,False,True,25,1501,False
2,0,21,0,1568,33,22,67,4,True,True,45,95,False
0,0,21,0,825,4,13,2,4,True,False,45,53,False
0,0,13,0,1695,20,20,13,2,True,True,25,167,False
14,0,12,0,6392,135,77,41,1,False,True,15,782,False
10,0,10,0,8932,165,65,39,4,True,True,45,389,False
6,0,11,2,2852,39,23,18,3,True,True,30,207,False
12,0,43,1,4198,72,9,36,1,True,True,15,284,False
6,0,43,1,2360,45,293,19,4,True,True,45,792,False
15,0,42,3,9115,127,152,44,3,True,True,30,977,False
27,0,43,4,15140,231,62,33,3,True,True,30,862,False
11,0,42,1,15485,188,158,31,2,True,True,25,1416,False
9,0,42,2,11465,160,19,48,4,True,True,45,338,False
3,0,41,1,1668,31,8,7,4,True,True,45,62,False
2,0,41,0,628,13,17,5,4,True,False,45,58,True
27,0,36,4,16075,244,8,81,2,True,True,25,770,False
8,0,39,4,6965,122,279,34,3,False,True,30,1399,False
5,0,40,0,1665,50,46,21,4,True,False,45,157,False
2,0,31,0,825,16,29,4,4,True,False,45,93,False
10,0,21,4,2852,51,39,20,3,True,True,30,272,False
4,0,14,2,4390,46,223,11,3,True,True,30,1069,False
16,0,39,1,4908,77,9,35,1,True,True,15,323,False
10,0,39,1,3070,50,293,18,3,True,True,30,1296,False
19,0,38,3,9825,132,152,43,3,True,True,30,1006,False
13,0,39,1,14483,180,8,44,3,True,True,30,618,False
15,0,38,1,16195,193,158,30,2,True,True,25,1448,False
13,0,38,2,12175,165,19,47,4,True,True,45,356,False
7,0,37,1,2378,36,8,6,4,True,True,45,80,False
10,0,27,1,2278,50,38,68,4,True,True,45,153,False
6,0,27,0,1535,21,29,3,4,True,False,45,111,False
14,0,17,4,3562,56,39,19,3,False,True,30,300,False
8,0,10,2,5100,51,223,10,3,True,True,30,1098,False
9,0,10,2,2197,30,8,7,3,True,True,30,121,True
4,0,37,0,3488,55,0,35,1,True,True,15,194,False
0,0,37,0,1683,47,0,33,1,True,True,15,95,False
0,0,37,0,1650,28,260,18,3,True,True,30,1107,False
19,0,37,2,14430,214,29,32,3,True,True,30,701,False
3,0,36,0,14775,171,125,30,2,True,True,25,1235,False
0,0,32,0,6075,86,0,22,4,True,True,45,154,False
0,0,35,0,0,0,0,0,4,True,False,45,0,True
19,0,30,2,15365,227,0,80,2,True,True,25,701,False
0,0,33,2,6255,105,246,33,2,False,True,25,1393,False
0,0,25,0,858,28,5,68,4,True,True,45,34,False
0,0,25,0,0,0,0,0,4,True,False,45,0,False
0,0,17,0,985,15,3,14,2,True,True,25,58,False
10,0,16,0,5682,130,60,42,1,False,True,15,649,False
6,0,14,0,8222,160,48,40,4,True,True,45,329,False
2,0,15,2,2142,34,6,19,3,True,True,30,111,False
0,0,8,0,3680,29,190,10,3,True,True,30,908,False
0,0,8,0,777,8,0,7,3,True,True,30,31,True
10,0,38,0,4198,66,1,35,1,True,True,15,240,False
3,0,38,0,2393,58,2,33,1,True,True,15,145,False
4,0,38,0,2360,39,285,18,3,True,True,30,1235,False
25,0,38,3,15140,225,54,32,3,True,True,30,830,False
9,0,37,0,15485,182,150,30,2,True,True,25,1380,False
7,0,37,1,11465,154,11,47,4,True,True,45,317,False
0,0,36,0,628,7,9,4,4,True,False,45,38,True
25,0,31,3,16075,238,0,80,2,True,True,25,734,False
6,0,34,3,6965,116,271,33,2,False,True,25,1538,False
4,0,26,0,1568,39,30,68,4,True,True,45,115,False
0,0,26,0,825,10,21,3,4,True,False,45,73,False
16,0,17,1,6392,141,85,42,2,False,True,25,676,False
12,0,15,0,8932,171,73,40,4,True,True,45,410,False
8,0,16,3,2852,45,31,19,3,True,True,30,239,False
2,0,9,1,4390,40,215,10,3,True,True,30,1037,False
3,0,9,1,1487,19,0,7,3,True,True,30,60,True
10,0,38,0,4198,66,1,35,1,True,True,15,240,False
3,0,38,0,2393,58,2,33,1,True,True,15,145,False
4,0,38,0,2360,39,285,18,3,True,True,30,1235,False
25,0,38,3,15140,225,54,32,3,True,True,30,830,False
9,0,37,0,15485,182,150,30,2,True,True,25,1380,False
7,0,37,1,11465,154,11,47,4,True,True,45,317,False
0,0,36,0,628,7,9,4,4,True,False,45,38,True
6,0,34,3,6965,116,271,33,2,False,True,25,1538,False
4,0,26,0,1568,39,30,68,4,True,True,45,115,False
0,0,26,0,825,10,21,3,4,True,False,45,73,False
16,0,17,1,6392,141,85,42,2,False,True,25,676,False
12,0,15,0,8932,171,73,40,4,True,True,45,410,False
8,0,16,3,2852,45,31,19,3,True,True,30,239,False
2,0,9,1,4390,40,215,10,3,True,True,30,1037,False
5,0,36,0,3893,60,0,33,1,True,True,15,217,False
0,0,36,0,2088,52,0,31,1,True,True,15,117,False
0,0,36,0,2055,33,278,16,3,True,True,30,1195,False
20,0,36,2,14835,219,47,30,3,True,True,30,790,False
4,0,35,0,15180,176,143,28,2,True,True,25,1334,False
0,0,31,0,6480,91,7,20,4,True,True,45,181,False
0,0,34,0,323,1,2,2,4,True,False,45,13,True
20,0,29,2,15770,232,0,78,2,True,True,25,720,False
1,0,32,2,6660,110,264,31,2,False,True,25,1492,False
0,0,24,0,1263,33,23,66,4,True,True,45,89,False
0,0,24,0,520,4,14,1,4,True,False,45,48,False
0,0,16,0,1390,20,21,12,2,True,True,25,157,False
11,0,15,0,6088,135,78,40,1,False,True,15,771,False
7,0,13,0,8628,165,66,38,4,True,True,45,384,False
3,0,14,2,2548,39,24,17,3,True,True,30,199,False
0,0,7,0,4085,34,208,8,3,True,True,30,996,False
8,0,38,0,3953,63,0,35,1,True,True,15,220,False
1,0,38,0,2148,55,0,33,1,True,True,15,121,False
2,0,38,0,2115,36,283,18,3,True,True,30,1218,False
23,0,38,3,14895,222,52,32,3,True,True,30,812,False
7,0,37,0,15240,179,148,30,2,True,True,25,1359,False
1,0,33,1,6540,94,12,22,4,True,True,45,195,False
0,0,36,0,383,4,7,4,4,True,True,45,27,True
23,0,31,3,15830,235,0,80,2,True,True,25,722,False
4,0,34,3,6720,113,269,33,2,False,True,25,1517,False
2,0,26,0,1323,36,28,68,4,True,True,45,103,False
0,0,26,0,580,7,19,3,4,True,True,45,62,False
10,0,15,0,8688,168,71,40,4,True,True,45,398,False
6,0,16,3,2608,42,29,19,3,True,True,30,222,False
0,0,9,1,4145,37,213,10,3,True,True,30,1019,False
0,0,34,0,2028,49,0,29,1,True,True,15,114,False
0,0,34,0,1995,30,273,14,3,True,True,30,1173,False
17,0,34,1,14775,216,42,28,2,True,True,25,863,False
1,0,33,0,15120,173,138,26,2,True,True,25,1309,False
0,0,29,0,6420,88,2,18,4,True,True,45,167,False
0,0,32,0,0,0,0,0,4,True,True,45,0,False
17,0,27,1,15710,229,0,76,2,True,True,25,717,False
0,0,30,1,6600,107,259,29,2,False,True,25,1467,False
0,0,22,0,1203,30,18,64,4,True,True,45,75,False
0,0,22,0,0,0,9,0,4,True,False,45,22,False
0,0,14,0,1330,17,16,10,2,True,True,25,132,False
8,0,13,0,6028,132,73,38,1,False,True,15,740,False
4,0,11,0,8568,162,61,36,4,True,True,45,370,False
0,0,12,1,2488,36,19,15,3,True,True,30,176,False
0,0,40,0,2168,54,5,35,1,True,True,15,149,False
0,0,40,0,2135,35,288,20,3,True,True,30,1238,False
21,0,40,3,14915,221,57,34,3,True,True,30,833,False
5,0,39,0,15260,178,153,32,2,True,True,25,1383,False
0,0,35,1,6560,93,17,24,4,True,True,45,208,False
21,0,33,3,15850,234,3,82,2,True,True,25,737,False
2,0,36,3,6740,112,274,35,2,False,True,25,1541,False
0,0,28,0,1343,35,33,70,4,True,True,45,116,False
0,0,28,0,600,6,24,5,4,True,False,45,75,False
12,0,19,1,6168,137,88,44,1,False,True,15,830,False
8,0,17,0,8708,167,76,42,4,True,True,45,411,False
4,0,18,3,2628,41,34,21,3,True,True,30,242,False
0,0,11,1,4165,36,218,12,3,True,True,30,1040,False
4,0,32,0,3813,58,0,29,1,True,True,15,212,False
0,0,32,0,2008,50,0,27,1,True,True,15,113,False
0,0,32,0,1975,31,268,12,3,True,True,30,1152,False
19,0,32,1,14755,217,37,26,3,True,True,30,746,False
3,0,31,0,15100,174,133,24,2,True,True,25,1285,False
0,0,27,0,6400,89,0,16,4,True,True,45,162,False
0,0,30,0,0,0,0,0,4,True,True,45,0,False
19,0,25,1,15690,230,0,74,2,True,True,25,716,False
0,0,28,1,6580,108,254,27,2,False,True,25,1443,False
0,0,20,0,1183,31,13,62,4,True,True,45,62,False
0,0,20,0,0,0,4,0,4,True,False,45,10,False
0,0,12,0,1310,18,11,8,2,True,True,25,109,False
10,0,11,0,6008,133,68,36,1,False,True,15,711,False
6,0,9,0,8548,163,56,34,4,True,True,45,357,False
2,0,10,1,2468,37,14,13,3,True,True,30,156,False
10,0,42,0,4153,70,9,39,1,True,True,15,281,False
3,0,42,0,2348,62,10,37,1,True,True,15,187,False
4,0,42,0,2315,43,293,22,3,True,True,30,1266,False
25,0,42,3,15095,229,62,36,3,True,True,30,860,False
9,0,41,0,15440,186,158,34,2,True,True,25,1414,False
7,0,41,1,11420,158,19,51,4,True,True,45,336,False
25,0,35,3,16030,242,8,84,2,True,True,25,768,False
6,0,38,3,6920,120,279,37,2,False,True,25,1572,False
4,0,30,0,1523,43,38,72,4,True,True,45,134,False
0,0,30,0,780,14,29,7,4,True,False,45,92,False
12,0,19,0,8888,175,81,44,4,True,True,45,429,False
8,0,20,3,2808,49,39,23,3,True,True,30,270,False
2,0,13,1,4345,44,223,14,3,True,True,30,1067,False
3,0,13,1,1443,23,8,11,3,True,True,30,90,True
0,0,30,0,3633,50,0,27,1,True,True,15,202,False
0,0,30,0,1828,42,0,25,1,True,True,15,102,False
0,0,30,0,1795,23,263,10,3,True,True,30,1124,False
15,0,30,1,14575,209,32,24,2,True,True,25,809,False
0,0,29,0,14920,166,128,22,2,True,True,25,1254,False
0,0,25,0,6220,81,0,14,4,True,True,45,157,False
15,0,23,1,15510,222,0,72,2,True,True,25,707,False
0,0,26,1,6400,100,249,25,2,False,True,25,1413,False
0,0,18,0,1003,23,8,60,4,True,True,45,45,False
0,0,18,0,0,0,0,0,4,True,False,45,0,False
0,0,17,0,660,16,0,5,2,True,True,25,30,False
0,0,17,0,2660,45,0,15,3,True,True,30,108,False
0,0,10,0,1130,10,6,6,2,True,True,25,78,False
6,0,9,0,5828,125,63,34,1,False,True,15,673,False
2,0,7,0,8368,155,51,32,4,True,True,45,340,False
0,0,8,1,2288,29,9,11,3,True,True,30,128,False
7,0,39,0,4073,68,5,38,1,True,True,15,255,False
0,0,39,0,2268,60,6,36,1,True,True,15,161,False
1,0,39,0,2235,41,289,21,3,True,True,30,1247,False
22,0,39,2,15015,227,58,35,3,True,True,30,841,False
6,0,38,0,15360,184,154,33,2,True,True,25,1392,False
0,0,34,0,6660,99,18,25,4,True,True,45,213,False
22,0,32,2,15950,240,4,83,2,True,True,25,746,False
3,0,35,2,6840,118,275,36,2,False,True,25,1550,False
1,0,27,0,1443,41,34,71,4,True,True,45,122,False
0,0,27,0,700,12,25,6,4,True,False,45,80,False
13,0,18,0,6268,143,89,45,1,False,True,15,842,False
9,0,16,0,8808,173,77,43,4,True,True,45,417,False
5,0,17,2,2728,47,35,22,3,True,True,30,251,False
0,0,10,0,4265,42,219,13,3,True,True,30,1048,False
3,0,33,0,3713,52,0,28,1,True,True,15,207,False
0,0,33,0,1908,44,0,26,1,True,True,15,107,False
0,0,33,0,1875,25,267,11,3,True,True,30,1144,False
18,0,33,2,14655,211,36,25,3,True,True,30,738,False
2,0,32,0,15000,168,132,23,2,True,True,25,1276,False
0,0,28,0,6300,83,0,15,4,True,True,45,159,False
0,0,31,0,0,0,0,0,4,True,False,45,0,True
18,0,26,2,15590,224,0,73,2,True,True,25,711,False
0,0,29,2,6480,102,253,26,2,False,True,25,1434,False
0,0,21,0,1083,25,12,61,4,True,True,45,57,False
0,0,21,0,0,0,3,0,4,True,False,45,7,False
0,0,13,0,1210,12,10,7,2,True,True,25,99,False
9,0,12,0,5908,127,67,35,1,False,True,15,700,False
5,0,10,0,8448,157,55,33,4,True,True,45,352,False
1,0,11,2,2368,31,13,12,3,True,True,30,147,False
9,0,36,1,4493,70,15,48,1,True,True,15,333,False
2,0,36,1,2688,62,16,46,1,True,True,15,239,False
3,0,36,1,2655,43,299,31,3,True,True,30,1303,False
12,0,35,3,9410,125,158,56,3,True,True,30,1013,False
24,0,36,4,15435,229,68,45,3,False,True,30,898,False
8,0,35,1,15780,186,164,43,2,True,True,25,1456,False
2,0,31,2,7080,101,28,35,4,True,True,45,249,False
0,0,34,0,923,11,23,17,4,True,False,45,80,True
24,0,29,4,16370,242,14,93,2,True,True,25,810,False
5,0,32,4,7260,120,285,46,2,False,True,25,1614,False
3,0,24,1,1863,43,44,81,4,True,True,45,157,False
0,0,24,0,1120,14,35,16,4,True,False,45,115,False
1,0,16,1,1990,30,42,27,2,True,True,25,279,False
15,0,15,2,6688,145,99,55,1,False,True,15,920,False
11,0,13,1,9228,175,87,53,4,True,True,45,452,False
7,0,14,4,3148,49,45,32,3,True,True,30,307,False
1,0,7,2,4685,44,229,23,3,True,True,30,1105,False
1,0,36,0,3293,50,0,18,1,True,True,15,183,False
0,0,36,0,1488,42,0,16,1,True,True,15,84,False
0,0,36,0,1455,23,257,1,3,True,True,30,1087,False
16,0,36,0,14235,209,26,15,3,True,True,30,681,False
0,0,35,0,14580,166,122,13,2,True,True,25,1212,False
0,0,31,0,5880,81,0,5,4,True,True,45,149,False
0,0,34,0,0,0,0,0,4,True,True,45,0,False
16,0,29,0,15170,222,0,63,2,True,True,25,692,False
