Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
26,1,35,1,1015,50,21,19,3,True,True,30,126,True
24,1,38,9,10495,96,6,44,5,False,True,55,167,False
12,1,38,1,2328,47,39,33,3,True,True,30,251,True
4,0,38,1,1728,28,5,8,4,True,True,45,56,False
6,0,35,2,6845,100,19,24,5,True,True,55,132,False
3,0,38,1,688,10,14,6,4,True,True,45,52,True
3,0,38,2,398,7,9,4,5,True,True,55,19,False
28,0,33,4,16135,241,5,82,2,True,True,25,759,False
9,1,36,4,7025,119,276,35,3,False,True,30,1389,False
7,0,28,1,1628,42,35,70,4,True,True,45,129,False
3,0,28,1,885,13,26,5,4,True,True,45,87,False
15,0,17,1,8993,174,78,42,5,True,True,55,254,False
11,0,18,4,2913,48,36,21,3,True,True,30,262,False
5,0,11,2,4450,43,220,12,3,True,True,30,1059,False
6,1,11,2,1548,22,5,9,3,True,True,30,82,True
7,0,35,0,2393,57,354,22,2,True,True,25,1703,False
7,0,36,0,4138,63,0,33,1,True,True,15,231,False
0,0,36,0,2333,55,0,31,1,True,True,15,131,False
1,0,36,0,2300,36,280,16,3,True,True,30,1213,False
6,1,36,0,2178,51,3,15,3,True,False,30,101,False
22,0,36,2,15080,222,49,30,3,True,True,30,808,False
1,0,36,0,3035,24,478,6,3,True,True,30,2034,False
6,0,35,0,15425,179,145,28,2,True,True,25,1354,False
0,0,35,0,7448,124,379,41,2,True,True,25,2046,False
18,0,34,7,10375,90,0,40,4,True,True,45,261,False
6,1,34,0,2208,41,29,29,3,True,False,30,205,True
0,1,34,0,0,0,0,0,3,True,False,30,0,True
0,0,31,0,6725,94,9,20,4,True,True,45,192,False
0,0,34,0,568,4,4,2,4,True,False,45,24,True
0,0,34,0,0,0,0,0,5,True,True,55,0,False
22,0,29,2,16015,235,0,78,2,True,True,25,731,False
3,0,32,2,6905,113,266,31,2,False,True,25,1512,False
1,0,24,0,1508,36,25,66,4,True,True,45,101,False
0,1,24,0,765,7,16,1,4,True,False,45,59,True
0,0,16,0,1635,23,23,12,2,True,True,25,178,False
13,0,15,0,6333,138,80,40,1,False,True,15,795,False
9,0,13,0,8873,168,68,38,4,True,True,45,396,False
5,0,14,2,2793,42,26,17,3,True,True,30,217,False
0,0,7,0,4330,37,210,8,3,True,True,30,1014,False
0,0,7,0,1428,16,0,5,3,True,True,30,57,True
1,1,43,0,398,7,17,8,3,True,False,30,84,True
11,0,41,1,2533,62,369,28,3,True,True,30,1579,False
11,0,42,1,4278,68,11,39,1,True,True,15,299,False
5,0,42,1,2440,41,295,22,3,True,True,30,1279,False
14,0,41,3,9195,123,154,47,3,True,True,30,988,False
26,0,42,4,15220,227,64,36,3,False,True,30,873,False
5,0,42,2,3175,29,493,12,3,True,True,30,2100,False
10,0,41,1,15565,184,160,34,2,True,True,25,1428,False
4,0,41,1,7588,129,394,47,3,True,True,30,1884,False
8,0,41,2,11545,156,21,51,4,True,True,45,345,False
24,1,37,0,1035,49,26,21,3,True,False,30,147,True
22,1,40,9,10515,95,11,46,5,True,True,55,175,False
10,1,40,0,2348,46,44,35,3,True,False,30,271,True
2,0,40,1,1748,27,10,10,4,True,True,45,69,False
4,0,37,2,6865,99,24,26,5,True,True,55,140,False
1,1,40,0,708,9,19,8,4,True,False,45,65,True
1,0,40,2,418,6,14,6,5,True,True,55,27,False
26,0,35,4,16155,240,10,84,2,True,True,25,782,False
7,1,38,4,7045,118,281,37,2,False,True,25,1586,False
5,0,30,1,1648,41,40,72,4,True,True,45,142,False
1,0,30,0,905,12,31,7,4,True,False,45,100,False
13,0,19,1,9013,173,83,44,5,True,True,55,262,False
9,0,20,4,2933,47,41,23,3,True,True,30,283,False
3,0,13,2,4470,42,225,14,3,True,True,30,1080,False
4,0,13,2,1568,21,10,11,3,True,True,30,103,True
9,0,33,0,2373,58,349,20,2,True,True,25,1679,False
9,0,34,0,4118,64,0,31,1,True,True,15,230,False
2,0,34,0,2313,56,0,29,1,True,True,15,130,False
3,0,34,0,2280,37,275,14,3,True,True,30,1192,False
24,0,34,2,15060,223,44,28,3,True,True,30,787,False
3,0,34,0,3015,25,473,4,3,True,True,30,2013,False
8,0,33,0,15405,180,140,26,2,True,True,25,1331,False
2,0,33,0,7428,125,374,39,2,True,True,25,2022,False
20,0,32,7,10355,91,0,38,4,True,True,45,261,False
12,1,32,0,5738,96,16,20,2,True,True,25,334,True
8,1,31,0,2910,39,0,12,3,True,False,30,117,True
0,1,32,0,0,0,0,0,3,True,False,30,0,True
2,0,29,0,6705,95,4,18,4,True,True,45,180,False
0,0,32,0,0,0,0,0,4,True,False,45,0,True
0,0,32,0,0,0,0,0,5,True,True,55,0,False
24,0,27,2,15995,236,0,76,2,True,True,25,730,False
5,0,30,2,6885,114,261,29,2,False,True,25,1489,False
3,0,22,0,1488,37,20,64,4,True,True,45,88,False
0,0,22,0,0,0,11,0,4,True,False,45,27,False
1,0,14,0,1615,24,18,10,2,True,True,25,154,False
15,0,13,0,6313,139,75,38,1,False,True,15,767,False
11,0,11,0,8853,169,63,36,4,True,True,45,383,False
7,0,12,2,2773,43,21,15,3,True,True,30,196,False
1,0,5,0,4310,38,205,6,3,True,True,30,993,False
2,0,5,0,1408,17,0,3,3,True,True,30,57,True
15,0,43,1,2713,70,374,30,3,True,True,30,1607,False
15,0,44,1,4458,76,16,41,1,True,True,15,337,False
9,0,44,1,2620,49,300,24,3,True,True,30,1306,False
18,0,43,3,9375,131,159,49,3,True,True,30,1016,False
14,1,44,0,2498,64,23,23,3,True,False,30,194,False
30,0,44,4,15400,235,69,38,3,True,True,30,901,False
9,0,44,2,3355,37,498,14,3,True,True,30,2127,False
14,0,43,1,15745,192,165,36,2,True,True,25,1459,False
8,0,43,1,7768,137,399,49,3,True,True,30,1912,False
12,0,43,2,11725,164,26,53,4,True,True,45,362,False
28,1,39,0,1215,57,31,23,3,True,False,30,174,True
26,0,42,9,10695,103,16,48,5,False,True,55,185,False
14,1,41,0,3250,51,24,22,3,True,False,30,228,True
14,1,42,0,2528,54,49,37,4,True,False,45,187,True
6,0,42,1,1928,35,15,12,4,True,True,45,86,False
8,0,39,2,7045,107,29,28,5,True,True,55,150,False
5,0,42,0,888,17,24,10,4,True,False,45,82,True
5,0,42,2,598,14,19,8,5,True,True,55,37,False
30,1,37,4,16335,248,15,86,2,True,True,25,813,False
11,1,40,4,7225,126,286,39,3,False,True,30,1438,False
9,0,32,1,1828,49,45,74,5,True,True,55,95,False
5,0,32,0,1085,20,36,9,4,True,False,45,117,False
17,0,21,1,9193,181,88,46,5,True,True,55,272,False
13,0,22,4,3113,55,46,25,3,True,True,30,310,False
7,0,15,2,4650,50,230,16,3,True,True,30,1108,False
8,1,15,2,1748,29,15,13,3,True,True,30,131,True
5,0,31,0,2193,50,344,18,2,True,True,25,1648,False
5,0,32,0,3938,56,0,29,1,True,True,15,219,False
0,0,32,0,2133,48,0,27,1,True,True,15,119,False
0,0,32,0,2100,29,270,12,3,True,True,30,1165,False
20,0,32,2,14880,215,39,26,3,True,True,30,759,False
0,0,32,0,2835,17,468,2,3,True,True,30,1986,False
4,0,31,0,15225,172,135,24,2,True,True,25,1300,False
0,0,31,0,7248,117,369,37,2,True,True,25,1991,False
18,1,27,0,695,37,1,11,2,True,False,25,37,True
16,0,30,7,10175,83,0,36,4,True,True,45,256,False
8,1,30,0,5558,88,11,18,2,True,True,25,303,True
4,1,30,0,2008,34,19,25,3,True,False,30,157,True
0,0,27,0,6525,87,0,16,4,True,True,45,165,False
0,1,30,0,0,0,0,0,4,True,False,45,0,True
0,1,30,0,0,0,0,0,5,True,True,55,0,True
20,0,25,2,15815,228,0,74,2,True,True,25,721,False
1,0,28,2,6705,106,256,27,2,False,True,25,1458,False
0,0,20,0,1308,29,15,62,4,True,True,45,70,False
0,0,20,0,0,0,6,0,4,True,False,45,15,False
0,0,12,0,1435,16,13,8,2,True,True,25,123,False
11,0,11,0,6133,131,70,36,1,False,True,15,729,False
7,0,9,0,8673,161,58,34,4,True,True,45,365,False
3,0,10,2,2593,35,16,13,3,True,True,30,169,False
0,0,3,0,4130,30,200,4,3,True,True,30,966,False
0,1,3,0,1228,9,0,1,2,True,True,25,55,True
12,0,40,0,2633,68,370,29,3,True,True,30,1588,False
12,0,41,0,4378,74,12,40,1,True,True,15,310,False
5,0,41,0,2573,66,13,38,1,True,True,15,216,False
6,0,41,0,2540,47,296,23,3,True,True,30,1287,False
27,0,41,3,15320,233,65,37,3,True,True,30,882,False
6,0,41,1,3275,35,494,13,3,True,True,30,2108,False
11,0,40,0,15665,190,161,35,2,True,True,25,1437,False
5,0,40,0,7688,135,395,48,2,True,True,25,2129,False
9,0,40,1,11645,162,22,52,4,True,True,45,350,False
25,1,36,0,1135,55,27,22,2,True,False,25,175,True
23,0,39,8,10615,101,12,47,5,True,True,55,178,False
11,1,38,0,3170,49,20,21,3,True,False,30,208,True
11,1,39,0,2448,52,45,36,3,True,False,30,280,True
2,1,39,0,313,10,11,7,3,True,False,30,56,True
5,0,36,1,6965,105,25,27,5,True,True,55,143,False
2,0,39,0,808,15,20,9,4,True,False,45,70,True
2,0,39,1,518,12,15,7,5,True,True,55,30,False
27,1,34,3,16255,246,11,85,2,True,True,25,792,False
8,0,37,3,7145,124,282,38,2,False,True,25,1596,False
6,1,30,1,1495,44,204,16,2,False,True,25,987,True
6,0,29,0,1748,47,41,73,4,True,True,45,147,False
2,0,29,0,1005,18,32,8,4,True,False,45,105,False
14,0,18,0,9113,179,84,45,4,True,True,45,442,False
10,0,19,3,3033,53,42,24,3,True,True,30,291,False
4,0,12,1,4570,48,226,15,3,True,True,30,1088,False
5,0,12,1,1668,27,11,12,3,True,True,30,111,True
8,0,34,0,2273,52,348,19,3,True,True,30,1485,False
8,0,35,0,4018,58,0,30,1,True,True,15,224,False
1,0,35,0,2213,50,0,28,1,True,True,15,124,False
2,0,35,0,2180,31,274,13,3,True,True,30,1184,False
23,0,35,3,14960,217,43,27,3,True,True,30,779,False
2,0,35,1,2915,19,472,3,3,True,True,30,2005,False
7,0,34,0,15305,174,139,25,2,True,True,25,1322,False
0,1,34,0,0,0,0,0,2,True,False,25,0,True
1,0,34,0,7328,119,373,38,2,True,True,25,2013,False
5,0,34,1,11285,146,0,42,4,True,True,45,285,False
21,1,30,0,775,39,5,12,2,True,False,25,59,True
19,0,33,8,10255,85,0,37,5,True,True,55,155,False
11,1,33,1,5638,90,15,19,2,True,True,25,325,True
7,1,33,0,2088,36,23,26,3,True,False,30,176,True
1,0,30,1,6605,89,3,17,5,True,True,55,104,False
0,0,33,0,0,0,0,0,4,True,False,45,0,True
0,0,33,0,0,0,0,0,5,True,True,55,0,False
23,0,28,3,15895,230,0,75,2,True,True,25,725,False
4,0,31,3,6785,108,260,28,2,False,True,25,1480,False
2,0,23,0,1388,31,19,63,4,True,True,45,82,False
0,0,23,0,0,0,10,0,4,True,False,45,25,False
0,0,15,0,1515,18,17,9,2,True,True,25,145,False
14,0,14,1,6213,133,74,37,2,False,True,25,618,False
10,0,12,0,8753,163,62,35,4,True,True,45,377,False
6,0,13,3,2673,37,20,14,3,True,True,30,188,False
0,0,6,1,4210,32,204,5,3,True,True,30,985,False
1,0,6,1,1308,11,0,2,3,True,True,30,52,True
14,0,37,2,3053,70,380,39,3,True,True,30,1644,False
14,0,38,2,4798,76,22,50,1,True,True,15,389,False
15,0,38,3,4375,92,53,43,3,True,True,30,390,False
8,0,38,2,2960,49,306,33,3,True,True,30,1344,False
17,0,37,4,9715,131,165,58,3,False,True,30,1053,False
11,0,38,2,14373,179,21,59,3,True,True,30,666,False
11,0,38,3,5115,93,23,40,3,True,True,30,300,False
29,0,38,5,15740,235,75,47,3,True,True,30,939,False
8,0,38,3,3695,37,504,23,3,True,True,30,2165,False
13,0,37,2,16085,192,171,45,2,True,True,25,1501,False
7,0,37,3,7100,96,207,41,3,True,True,30,1115,False
7,0,37,2,8108,137,405,58,3,True,True,30,1949,False
11,0,37,3,12065,164,32,62,4,True,True,45,385,False
12,0,37,3,7318,85,129,52,2,True,True,25,913,False
27,1,33,0,1555,57,37,32,3,True,False,30,212,True
25,0,36,10,11035,103,22,57,5,False,True,55,200,False
17,0,36,3,6418,108,47,39,2,True,True,25,505,False
13,1,35,0,3590,51,30,31,3,True,False,30,265,True
13,1,36,0,2868,54,55,46,3,True,False,30,336,True
5,0,36,2,2268,35,21,21,4,True,True,45,110,False
7,0,33,3,7385,107,35,37,5,True,True,55,164,False
4,0,36,0,1228,17,30,19,4,True,False,45,106,True
4,0,36,3,938,14,25,17,5,True,True,55,51,False
29,0,31,5,16675,248,21,95,2,True,True,25,856,False
10,0,34,5,7565,126,292,48,2,False,True,25,1660,False
7,1,35,0,2265,54,59,35,3,True,False,30,328,True
8,0,27,3,1915,46,214,26,2,False,True,25,1051,False
8,0,26,2,2168,49,51,83,4,True,True,45,182,False
4,0,26,0,1425,20,42,18,4,True,False,45,141,False
20,0,17,3,6993,151,106,57,2,False,True,25,798,False
16,0,15,2,9533,181,94,55,5,True,True,55,286,False
12,0,16,5,3453,55,52,34,3,True,True,30,348,False
6,0,9,3,4990,50,236,25,3,True,True,30,1145,False
7,1,9,3,2088,29,21,22,3,True,True,30,168,True
6,0,37,0,1853,50,338,9,2,True,True,25,1606,False
6,0,38,0,3598,56,0,20,1,True,True,15,200,False
0,0,38,0,1793,48,0,18,1,True,True,15,101,False
0,0,38,0,1760,29,264,3,3,True,True,30,1127,False
21,0,38,1,14540,215,33,17,3,True,True,30,722,False
0,0,38,0,2495,17,462,7,3,True,True,30,1948,False
5,0,37,0,14885,172,129,15,2,True,True,25,1258,False
0,0,37,0,6908,117,363,28,2,True,True,25,1949,False
17,0,36,6,9835,83,0,27,4,True,True,45,247,False
9,1,36,0,5218,88,5,9,2,True,True,25,261,True
0,0,33,0,6185,87,0,7,4,True,True,45,156,False
0,0,36,0,0,0,0,0,4,True,False,45,0,True
0,0,36,0,0,0,0,0,5,True,True,55,0,False
21,0,31,1,15475,228,0,65,2,True,True,25,706,False
2,0,34,1,6365,106,250,18,2,False,True,25,1416,False
0,0,26,0,968,29,9,53,4,True,True,45,47,False
0,0,26,0,0,0,0,0,4,True,False,45,0,False
12,0,17,0,5793,131,64,27,1,False,True,15,677,False
8,0,15,0,8333,161,52,25,4,True,True,45,342,False
4,0,16,1,2253,35,10,4,3,True,True,30,131,False
0,0,9,0,3790,30,194,23,3,True,True,30,928,False
0,1,9,0,888,9,0,3,3,True,True,30,35,True
10,0,38,1,2568,66,391,28,3,True,True,30,1669,False
10,0,39,1,4313,72,33,39,1,True,True,15,422,False
4,0,39,1,2475,45,317,22,4,True,True,45,855,False
13,0,38,3,9230,127,176,47,3,True,True,30,1078,False
9,1,39,0,2353,60,40,21,3,True,False,30,256,False
25,0,39,4,15255,231,86,36,3,True,True,30,963,False
4,0,39,2,3210,33,515,12,4,True,True,45,1368,False
9,0,38,1,15600,188,182,34,2,True,True,25,1529,False
3,0,38,2,6615,92,218,30,3,True,True,30,1140,False
3,0,38,1,7623,133,416,47,3,True,True,30,1974,False
7,0,38,2,11580,160,43,51,4,True,True,45,401,False
23,1,34,0,1070,53,48,21,3,True,False,30,236,True
21,0,37,9,10550,99,33,46,5,True,True,55,209,False
9,1,36,0,3105,47,41,20,3,True,False,30,290,True
9,0,37,0,2383,50,66,35,4,True,False,45,225,True
1,0,37,1,1783,31,32,10,4,True,True,45,125,False
3,0,34,2,6900,103,46,26,5,True,True,55,174,False
0,0,37,0,743,13,41,8,4,True,False,45,121,True
0,0,37,2,453,10,36,6,5,True,True,55,60,False
25,0,32,4,16190,244,32,84,2,False,True,25,883,False
6,0,35,4,7080,122,303,37,3,False,True,30,1500,False
3,0,36,0,1780,50,70,24,4,True,False,45,220,False
4,0,28,2,1430,42,225,15,3,False,True,30,958,False
4,0,27,1,1683,45,62,72,5,True,True,55,118,False
0,0,27,0,940,16,53,7,4,True,False,45,156,False
12,0,16,1,9048,177,105,44,5,True,True,55,295,False
8,0,17,4,2968,51,63,23,3,False,True,30,372,False
2,0,10,2,4505,46,247,14,3,True,True,30,1170,False
3,0,10,2,1603,25,32,11,3,True,True,30,193,True
10,0,36,0,2338,54,327,20,2,True,True,25,1579,False
10,0,37,0,4083,60,0,31,1,True,True,15,227,False
3,0,37,0,2278,52,0,29,1,True,True,15,128,False
4,0,37,0,2245,33,253,14,3,True,True,30,1103,False
25,0,37,2,15025,219,22,28,3,True,True,30,697,False
4,0,37,0,2980,21,451,4,3,True,True,30,1924,False
9,0,36,0,15370,176,118,26,2,True,True,25,1230,False
0,1,36,0,0,0,0,0,2,True,False,25,0,True
3,0,36,0,7393,121,352,39,2,True,True,25,1922,False
21,0,35,7,10320,87,0,38,4,False,True,45,260,False
13,1,35,0,5703,92,0,20,2,True,True,25,260,True
9,1,34,0,2875,35,0,12,2,True,False,25,130,True
3,0,32,0,6670,91,0,18,4,True,True,45,169,False
0,0,35,0,513,1,0,3,4,True,False,45,12,True
0,0,35,0,0,0,0,0,4,True,True,45,0,False
25,0,30,2,15960,232,0,76,2,True,True,25,728,False
6,0,33,2,6850,110,239,29,2,False,True,25,1388,False
4,0,25,0,1453,33,0,64,4,True,True,45,37,False
0,0,25,0,710,4,0,1,4,True,False,45,17,False
2,0,17,0,1580,20,0,10,2,True,True,25,72,False
16,0,16,0,6278,135,53,38,1,False,True,15,644,False
12,0,14,0,8818,165,41,36,4,True,True,45,327,False
8,0,15,2,2738,39,0,15,3,True,True,30,111,False
2,0,8,0,4275,34,183,6,3,True,True,30,904,False
3,1,8,0,1373,13,0,3,2,True,True,25,62,True
12,0,37,0,2643,61,368,27,3,True,True,30,1580,False
12,0,38,0,4388,67,10,38,1,True,True,15,300,False
5,0,38,0,2583,59,11,36,1,True,True,15,205,False
6,0,38,0,2550,40,294,21,3,True,True,30,1279,False
11,1,38,0,2428,55,17,20,3,True,False,30,167,False
27,0,38,3,15330,226,63,35,3,True,True,30,874,False
6,0,38,1,3285,28,492,11,3,True,True,30,2100,False
11,0,37,0,15675,183,159,33,2,True,True,25,1429,False
5,0,37,0,7698,128,393,46,2,True,True,25,2120,False
9,0,37,1,11655,155,20,50,4,True,True,45,345,False
25,1,33,0,1145,48,25,20,2,True,False,25,166,True
23,0,36,8,10625,94,10,45,5,True,True,55,175,False
11,1,35,0,3180,42,18,19,3,True,False,30,200,True
11,1,36,0,2458,45,43,34,3,True,False,30,272,True
5,0,33,1,6975,98,23,25,5,True,True,55,140,False
2,0,36,0,818,8,18,7,4,True,False,45,65,True
2,0,36,1,528,5,13,5,5,True,True,55,27,False
27,0,31,3,16265,239,9,83,2,True,True,25,783,False
8,0,34,3,7155,117,280,36,2,False,True,25,1587,False
6,1,27,1,1505,37,202,14,2,False,True,25,978,True
6,0,26,0,1758,40,39,71,4,True,True,45,142,False
2,0,26,0,1015,11,30,6,4,True,False,45,100,False
18,0,17,1,6582,142,94,45,2,False,True,25,725,False
14,0,15,0,9122,172,82,43,4,True,True,45,437,False
10,0,16,3,3042,46,40,22,3,True,True,30,283,False
4,0,9,1,4580,41,224,13,3,True,True,30,1080,False
5,0,9,1,1677,20,9,10,3,True,True,30,103,True
8,0,37,0,2263,59,350,21,3,True,True,30,1492,False
8,0,38,0,4008,65,0,32,1,True,True,15,224,False
1,0,38,0,2203,57,0,30,1,True,True,15,124,False
2,0,38,0,2170,38,276,15,3,True,True,30,1192,False
23,0,38,3,14950,224,45,29,3,True,True,30,786,False
2,0,38,1,2905,26,474,5,3,True,True,30,2013,False
7,0,37,0,15295,181,141,27,2,True,True,25,1330,False
1,0,37,0,7318,126,375,40,2,True,True,25,2022,False
5,0,37,1,11275,153,2,44,4,True,True,45,290,False
19,0,36,8,10245,92,0,39,5,False,True,55,155,False
7,1,35,0,2800,40,0,13,3,True,False,30,113,True
1,0,33,1,6595,96,5,19,5,True,True,55,107,False
0,0,36,0,438,6,0,1,4,True,False,45,11,True
0,0,36,1,0,0,0,0,5,True,True,55,0,False
23,0,31,3,15885,237,0,77,2,True,True,25,725,False
4,0,34,3,6775,115,262,30,2,False,True,25,1489,False
2,0,26,0,1378,38,21,65,4,True,True,45,87,False
0,0,26,0,635,9,12,1,4,True,False,45,46,False
14,0,17,1,6202,140,76,39,2,False,True,25,627,False
10,0,15,0,8742,170,64,37,4,True,True,45,382,False
6,0,16,3,2662,44,22,16,3,True,True,30,196,False
0,0,9,1,4200,39,206,7,3,True,True,30,993,False
1,0,9,1,1297,18,0,4,3,True,True,30,52,True
8,0,32,0,2453,54,351,23,2,True,True,25,1692,False
8,0,33,0,4198,60,0,34,1,True,True,15,234,False
1,0,33,0,2393,52,0,32,1,True,True,15,134,False
2,0,33,0,2360,33,277,17,3,True,True,30,1203,False
7,1,33,0,2238,48,0,16,3,True,False,30,91,False
23,0,33,2,15140,219,46,31,3,True,True,30,798,False
2,0,33,0,3095,21,475,7,3,True,True,30,2024,False
7,0,32,0,15485,176,142,29,2,True,True,25,1343,False
1,0,32,0,7508,121,376,42,2,True,True,25,2035,False
21,1,28,0,955,41,8,16,2,True,False,25,80,True
19,0,31,7,10435,87,0,41,4,True,True,45,263,False
7,1,30,0,2990,35,1,15,2,True,False,25,140,True
7,1,31,0,2268,38,26,30,3,True,False,30,196,True
0,1,31,0,0,0,0,0,2,True,False,25,0,True
1,0,28,0,6785,91,6,21,4,True,True,45,186,False
0,0,31,0,628,1,1,3,4,True,False,45,18,True
0,0,31,0,338,5,0,1,4,True,True,45,8,False
23,0,26,2,16075,232,0,79,2,True,True,25,733,False
4,0,29,2,6965,110,263,32,2,False,True,25,1501,False
2,0,21,0,1568,33,22,67,4,True,True,45,95,False
0,0,21,0,825,4,13,2,4,True,False,45,53,False
0,0,13,0,1695,20,20,13,2,True,True,25,167,False
14,0,12,0,6392,135,77,41,1,False,True,15,782,False
10,0,10,0,8932,165,65,39,4,True,True,45,389,False
6,0,11,2,2852,39,23,18,3,True,True,30,207,False
0,0,4,0,4390,34,207,9,3,True,True,30,1004,False
1,0,4,0,1487,13,0,6,2,True,True,25,67,True
12,0,42,1,2453,66,367,25,3,True,True,30,1568,False
12,0,43,1,4198,72,9,36,1,True,True,15,284,False
6,0,43,1,2360,45,293,19,4,True,True,45,792,False
15,0,42,3,9115,127,152,44,3,True,True,30,977,False
11,1,43,0,2238,60,16,18,3,True,False,30,155,False
27,0,43,4,15140,231,62,33,3,True,True,30,862,False
6,0,43,2,3095,33,491,9,4,True,True,45,1305,False
11,0,42,1,15485,188,158,31,2,True,True,25,1416,False
5,0,42,1,7508,133,392,44,3,True,True,30,1873,False
9,0,42,2,11465,160,19,48,4,True,True,45,338,False
25,1,38,0,955,53,24,18,3,True,False,30,136,True
23,0,41,9,10435,99,9,43,5,False,True,55,171,False
11,1,41,0,2268,50,42,32,4,True,False,45,162,True
3,0,41,1,1668,31,8,7,4,True,True,45,62,False
5,0,38,2,6785,103,22,23,5,True,True,55,136,False
2,0,41,0,628,13,17,5,4,True,False,45,58,True
2,0,41,2,338,10,12,3,5,True,True,55,23,False
27,0,36,4,16075,244,8,81,2,True,True,25,770,False
8,0,39,4,6965,122,279,34,3,False,True,30,1399,False
5,0,40,0,1665,50,46,21,4,True,False,45,157,False
6,1,32,2,1315,42,201,12,3,False,True,30,858,True
6,0,31,1,1568,45,38,69,5,True,True,55,81,False
2,0,31,0,825,16,29,4,4,True,False,45,93,False
14,0,20,1,8932,177,81,41,5,True,True,55,258,False
10,0,21,4,2852,51,39,20,3,True,True,30,272,False
4,0,14,2,4390,46,223,11,3,True,True,30,1069,False
5,1,14,2,1487,25,8,8,3,True,True,30,92,True
16,0,38,1,3163,71,367,24,3,True,True,30,1597,False
16,0,39,1,4908,77,9,35,1,True,True,15,323,False
10,0,39,1,3070,50,293,18,3,True,True,30,1296,False
19,0,38,3,9825,132,152,43,3,True,True,30,1006,False
13,0,39,1,14483,180,8,44,3,True,True,30,618,False
31,1,39,4,15850,236,62,32,3,True,True,30,891,False
10,0,39,2,3805,38,491,8,3,True,True,30,2117,False
15,0,38,1,16195,193,158,30,2,True,True,25,1448,False
9,0,38,1,8218,138,392,43,3,True,True,30,1902,False
13,0,38,2,12175,165,19,47,4,True,True,45,356,False
29,1,34,0,1665,58,24,17,3,True,False,30,164,True
27,0,37,9,11145,104,9,42,5,False,True,55,182,False
15,1,36,0,3700,52,17,16,3,True,False,30,218,True
15,1,37,0,2978,55,42,31,3,True,False,30,289,True
7,0,37,1,2378,36,8,6,4,True,True,45,80,False
9,0,34,2,7495,108,22,22,5,True,True,55,147,False
6,1,37,0,1338,18,17,4,4,True,False,45,76,True
6,0,37,2,1048,15,12,2,5,True,True,55,33,False
31,1,32,4,16785,249,8,80,2,True,True,25,802,False
12,1,35,4,7675,127,279,33,3,False,True,30,1428,False
10,0,27,1,2278,50,38,68,4,True,True,45,153,False
6,0,27,0,1535,21,29,3,4,True,False,45,111,False
18,0,16,1,9642,182,81,40,5,True,True,55,268,False
14,0,17,4,3562,56,39,19,3,False,True,30,300,False
8,0,10,2,5100,51,223,10,3,True,True,30,1098,False
9,0,10,2,2197,30,8,7,3,True,True,30,121,True
4,0,36,0,1743,49,334,24,2,True,True,25,1583,False
4,0,37,0,3488,55,0,35,1,True,True,15,194,False
0,0,37,0,1683,47,0,33,1,True,True,15,95,False
0,0,37,0,1650,28,260,18,3,True,True,30,1107,False
19,0,37,2,14430,214,29,32,3,True,True,30,701,False
